,Atmosphere,Food,Name,Service,Value,Location,# of reviews,Distance from Kgs. Nytorv
0,,45,Basso Kobenhavn,45,45,"55.68388,12.58657",339 reviews,458.9398139811642
1,40,45,Che Fe,45,45,"55.684223,12.585324",578 reviews,477.4630031898928
2,,45,Souls,45,45,"55.70349,12.585388",646 reviews,2615.6091753486035
3,45,50,Geranium,45,45,"55.7036,12.572","1,053 reviews",2735.60008029852
4,,50,Trattoria lâ€™Alba,45,45,"55.678543,12.589863",176 reviews,389.81437094311366
5,50,50,Sollerod Kro,50,45,"55.813576,12.495031",337 reviews,15868.985807758389
6,,50,Restaurant leaven,50,45,"55.681232,12.584203",309 reviews,139.55247313851083
7,45,50,Studio - The Standard,50,45,"55.67783,12.592299",452 reviews,561.698165491972
8,,45,Feed Bistro,45,45,"55.688663,12.559759",548 reviews,1810.5756273127708
9,,45,Trattoria SUD,50,45,"55.684696,12.568494",306 reviews,1115.1075157441287
