Restaurant,Main rating,Ranking on list,Price range,Price class,Location,Distance from Kgs. Nytorv (m),Good price,Food,Service,Atmosphere,Type of food,Number of reviews,Address
Grams Lækkerier,5.0,1,101.0,--$---------,"55.671036,12.562724",1673.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",721,"Halmtorvet 1, København 1700 Danmark"
Enomania,4.5,1,,--$$-$$$------,"55.670773,12.531963",3431.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c26-Frederiksberg_Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Vinstue</div>",245,"Vesterbrogade 187, Frederiksberg, København 1800 Danmark"
Restaurant Krebsegaarden,5.0,2,396.0,--$$$$---,"55.67872,12.569877",908.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",1311,"Studiestraede 17, København 1455 Danmark"
Mielcke & Hurtigkarl,4.5,2,2.615,--$$$$---,"55.67468,12.530938",3390.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",253,"Fr.Berg Runddel 1, Frederiksberg, København 2000 Danmark"
Frederiks Have,4.5,3,536.0,--$$$$---,"55.679256,12.524991",3712.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",529,"Smallegade 41, Frederiksberg, København 2000 Danmark"
The Olive Kitchen & Bar,5.0,3,174.0,--$$-$$$---------,"55.68125,12.571284",821.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",2141,"Nørregade 22, København 1165 Danmark"
Søllerød Kro,5.0,4,1.797,--$$$$------,"55.813576,12.495031",15869.0,4.5,5.0,5.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, Dansk, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a></div>",337,"Soelleroedvej 35 DK-2840 Holte, København 2840 Danmark"
Zahida at Kellerdirk,5.0,5,248.0,--$$-$$$---------,"55.67162,12.546196",2557.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-c10748-Copenhagen_Zealand.html"">Pakistansk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",879,"Frederiksberg Allé 102 We are located inside the historic Kellerdirk Bar and nightlcub, København 1820 Danmark"
Bastard Café,4.5,6,,--$------,"55.67645,12.574973",698.0,4.5,4.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, Bar, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",242,"Rådhusstræde 13, København 1466 Danmark"
The Pescatarian,5.0,6,597.0,--$$$$------,"55.68799,12.596316",1171.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Dansk, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",201,"Amaliegade 49 On the corner of Amaliegade & Esplanaden, København 1256 Danmark"
Pizzeria Mamemi & Wine Bar,5.0,7,,--$---------,"55.667767,12.548116",2638.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>",930,"Mysundegade 28, København 1668 Danmark"
Geranium,4.5,8,1.489,--$$$$---,"55.7036,12.572",2736.0,4.5,5.0,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",1054,"Per Henrik Lings Alle 4, 8., København Danmark"
Café Komplet,4.5,9,201.0,--$$-$$$------,"55.684692,12.588044",577.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",350,"Store Kongensgade 65, København 1264 Danmark"
Bowl Market Copenhagen,4.5,9,80.0,--$$-$$$---,"55.672024,12.555914",1981.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, Skandinavisk, Dansk</div>",113,"Gasvaerksvej 3, København 1656 Danmark"
Marv & Ben,4.5,10,838.0,--$$$$---,"55.677303,12.576991",540.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",645,"Snaregade 4, København 1205 Danmark"
Banana Joe,4.5,12,54.0,--$---------,"55.690052,12.559024",1935.0,5.0,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",411,"Elmegade 18, København 2200 Danmark"
Kokkeriet,4.5,13,972.0,--$$$$---,"55.687626,12.585126",853.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",770,"Kronprinsessegade 64, København 1306 Danmark"
Husmann's Vinstue,4.5,14,,--$$-$$$---,"55.677773,12.570244",908.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",255,"Larsbjørnsstræde 2, København 1454 Danmark"
Restaurant leaven,4.5,16,697.0,--$$$$------,"55.681232,12.584203",140.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Vinstue</div>",309,"Ny Adelgade 4, København 1104 Danmark"
Trattoria SUD,4.5,17,999.0,--$$-$$$---------,"55.684696,12.568494",1115.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",306,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, København 1360 Danmark"
Basso København,4.5,18,496.0,--$$-$$$---------,"55.68388,12.58657",459.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",345,"Dronningens Tvaergade 22, København 1302 Danmark"
Restaurant Schonnemann,4.5,19,,--$$-$$$,"55.68277,12.575768",613.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, Skandinavisk</div>",162,"Haydee Plads 16-28, København 1127 Danmark"
BODIL - et spisested,4.5,20,758.0,--$$-$$$------,"55.66416,12.545544",2994.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Skandinavisk, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",208,"Søndre Boulevard 105, København 1720 Danmark"
The Red Box,4.5,21,490.0,--$$-$$$---------,"55.683018,12.586555",369.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c17-Copenhagen_Zealand.html"">Fusion</a></div>",515,"Store Kongensgade 42, København 1264 Danmark"
Studio - The Standard,4.5,22,,--$$$$---,"55.67783,12.592299",562.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",453,"Havnegade 44, København 1058 Danmark"
Café Patina,4.5,24,201.0,--$$-$$$---------,"55.66791,12.548128",2629.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c23-Copenhagen_Zealand.html"">Græsk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",96,"Mysundegade 26, København 1668 Danmark"
Goomi,4.5,25,449.0,--$$-$$$------,"55.673717,12.589529",772.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, Moderne</div>",271,"Strandgade 20, København 1401 Danmark"
Feed Bistro,4.5,26,,--$$-$$$---,"55.688663,12.559759",1811.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",548,"Faelledvej 5, København 2200 Danmark"
Trattoria l’Alba,4.5,27,382.0,--$$-$$$---------,"55.678543,12.589863",390.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a></div>",177,"Holbergsgade 17 Ved Nyhavnsbroen, København 1057 Danmark"
Restaurant Grønnegade,4.5,28,664.0,--$$$$---,"55.681705,12.583386",199.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Dansk, Skandinavisk</div>",525,"Grønnegade 39, København 1107 Danmark"
Ché Fè,4.5,29,496.0,--$$-$$$---------,"55.684223,12.585324",477.0,4.5,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",581,"Borgergade 17A, København 1300 Danmark"
Restaurant Garden,4.5,30,221.0,--$$-$$$---,"55.68335,12.57827",528.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",135,"Gothersgade 87 Kælder, København 1123 Danmark"
Souls,4.5,31,,--$$-$$$---------,"55.70349,12.585388",2616.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",647,"Melchiors Plads 3, København 2100 Danmark"
Restaurant Cofoco,4.5,32,1.073,--$$-$$$,"55.671722,12.55859",1849.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, Moderne</div>",1066,"Abel Cathrines Gade 7, København Danmark"
Kong Hans Kaelder,4.5,33,,--$$$$------,"55.67888,12.584211",122.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>",286,"Vingaardstraede 6, København 1070 Danmark"
Madglad,4.5,34,47.0,--$---,"55.670685,12.555624",2068.0,4.5,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",169,"Eskildsgade 13, København 1657 Danmark"
Noma,4.5,36,,--$$$$------,"55.67787,12.596145",785.0,4.0,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Moderne, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",1642,"Refshalevej 96, København 1432 Danmark"
L'Enoteca di Mr. Brunello Restaurant & Wine Shop,4.5,37,,--$$$$---------,"55.67104,12.574041",1180.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",219,"Rysensteensgade 16, København 1564 Danmark"
Höst,4.5,38,798.0,--$$$$,"55.683228,12.566168",1186.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>",2028,"Nørre Farimagsgade 41, København 1364 Danmark"
Vaekst,4.5,39,,--$$$$,"55.6788,12.566957",1088.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>",550,"Sankt Peders Stræde 34, København 1453 Danmark"
Restaurant Nepali Bhancha,4.5,40,248.0,--$$-$$$------,"55.70341,12.547717",3466.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Nepalesisk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",223,"H C Ørsteds Vej 50 D, København 1879 Danmark"
Restaurant Under Uret - Frokost,4.5,41,,--$$-$$$---,"55.689465,12.575",1202.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",166,"Øster Farimagsgade 4, København 2100 Danmark"
Sankt Annae 8,4.5,42,,--$$-$$$---,"55.673985,12.591411",806.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue, Dansk</div>",204,"Wildersgade 52, København Danmark"
Temporada Tapasbodega,4.5,43,349.0,--$$-$$$---------,"55.684452,12.554217",1944.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a></div>",282,"Åboulevard 23 Frederiksberg, København 2000 Danmark"
Chao Viet Kitchen,4.5,44,107.0,--$---------,"55.677105,12.571456",860.0,4.0,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",362,"Kattesundet 8 Indre By, København 1458 Danmark"
Frenchy,4.5,45,,--$$-$$$---------,"55.677998,12.576669",520.0,4.5,4.5,5.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",190,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark"
Restaurant Radio,4.5,46,,--$$$$---,"55.682026,12.554082",1901.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",846,"Julius Thomsens Gade 12, København Danmark"
Sporvejen,4.5,47,101.0,--$---,"55.679707,12.575636",537.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Grill, Dansk</div>",977,"Graabroedretorv 17, København 1154 Danmark"
KöD Vesterbro,4.5,48,449.0,--$$-$$$---------,"55.6728,12.558157",1817.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",769,"Vesterbrogade 33, København 1620 Danmark"
