,Restaurant,Main rating,Ranking on list,Price range,Price class,Location,Distance from Kgs. Nytorv (m),Good price,Food,Service,Atmosphere,Type of food,Number of reviews,Address,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking,Pop kitchen
47,Sporvejen,4.5,47,101.0,--$---,"55.679707,12.575636",537.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Grill, Dansk</div>",977,"Graabroedretorv 17, København 1154 Danmark",$,1,-47,50,[]
46,Restaurant Radio,4.5,46,,--$$$$---,"55.682026,12.554082",1901.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",846,"Julius Thomsens Gade 12, København Danmark",$$$$,3,-46,51,[]
45,Frenchy,4.5,45,,--$$-$$$---------,"55.677998,12.576669",520.0,4.5,4.5,5.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",190,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark",$$-$$$,2,-45,52,['Café']
44,Chao Viet Kitchen,4.5,44,107.0,--$---------,"55.677105,12.571456",860.0,4.0,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",362,"Kattesundet 8 Indre By, København 1458 Danmark",$,1,-44,53,[]
43,Temporada Tapasbodega,4.5,43,349.0,--$$-$$$---------,"55.684452,12.554217",1944.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a></div>",282,"Åboulevard 23 Frederiksberg, København 2000 Danmark",$$-$$$,2,-43,54,[]
42,Sankt Annae 8,4.5,42,,--$$-$$$---,"55.673985,12.591411",806.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue, Dansk</div>",204,"Wildersgade 52, København Danmark",$$-$$$,2,-42,55,[]
41,Restaurant Under Uret - Frokost,4.5,41,,--$$-$$$---,"55.689465,12.575",1202.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",166,"Øster Farimagsgade 4, København 2100 Danmark",$$-$$$,2,-41,56,[]
40,Restaurant Nepali Bhancha,4.5,40,248.0,--$$-$$$------,"55.70341,12.547717",3466.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Nepalesisk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",223,"H C Ørsteds Vej 50 D, København 1879 Danmark",$$-$$$,2,-40,57,[]
39,Vaekst,4.5,39,,--$$$$,"55.6788,12.566957",1088.0,4.0,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>",550,"Sankt Peders Stræde 34, København 1453 Danmark",$$$$,3,-39,58,[]
38,Höst,4.5,38,798.0,--$$$$,"55.683228,12.566168",1186.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>",2028,"Nørre Farimagsgade 41, København 1364 Danmark",$$$$,3,-38,59,[]
37,L'Enoteca di Mr. Brunello Restaurant & Wine Shop,4.5,37,,--$$$$---------,"55.67104,12.574041",1180.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",219,"Rysensteensgade 16, København 1564 Danmark",$$$$,3,-37,60,['Italiensk']
36,Noma,4.5,36,,--$$$$------,"55.67787,12.596145",785.0,4.0,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Moderne, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",1642,"Refshalevej 96, København 1432 Danmark",$$$$,3,-36,61,[]
35,Madglad,4.5,34,47.0,--$---,"55.670685,12.555624",2068.0,4.5,4.5,4.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",169,"Eskildsgade 13, København 1657 Danmark",$,1,-34,62,[]
34,Kong Hans Kaelder,4.5,33,,--$$$$------,"55.67888,12.584211",122.0,4.0,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>",286,"Vingaardstraede 6, København 1070 Danmark",$$$$,3,-33,63,[]
33,Restaurant Cofoco,4.5,32,1.073,--$$-$$$,"55.671722,12.55859",1849.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, Moderne</div>",1066,"Abel Cathrines Gade 7, København Danmark",$$-$$$,2,-32,64,[]
32,Souls,4.5,31,,--$$-$$$---------,"55.70349,12.585388",2616.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",647,"Melchiors Plads 3, København 2100 Danmark",$$-$$$,2,-31,65,['Café']
31,Restaurant Garden,4.5,30,221.0,--$$-$$$---,"55.68335,12.57827",528.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",135,"Gothersgade 87 Kælder, København 1123 Danmark",$$-$$$,2,-30,66,[]
30,Ché Fè,4.5,29,496.0,--$$-$$$---------,"55.684223,12.585324",477.0,4.5,4.5,4.5,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>",581,"Borgergade 17A, København 1300 Danmark",$$-$$$,2,-29,67,['Italiensk']
29,Restaurant Grønnegade,4.5,28,664.0,--$$$$---,"55.681705,12.583386",199.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Dansk, Skandinavisk</div>",525,"Grønnegade 39, København 1107 Danmark",$$$$,3,-28,68,['Fisk og skaldyr']
28,Trattoria l’Alba,4.5,27,382.0,--$$-$$$---------,"55.678543,12.589863",390.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a></div>",177,"Holbergsgade 17 Ved Nyhavnsbroen, København 1057 Danmark",$$-$$$,2,-27,69,"['Italiensk', 'Fisk og skaldyr']"
27,Feed Bistro,4.5,26,,--$$-$$$---,"55.688663,12.559759",1811.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",548,"Faelledvej 5, København 2200 Danmark",$$-$$$,2,-26,70,[]
26,Goomi,4.5,25,449.0,--$$-$$$------,"55.673717,12.589529",772.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c11-Copenhagen_Zealand.html"">Kinesisk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, Moderne</div>",271,"Strandgade 20, København 1401 Danmark",$$-$$$,2,-25,71,[]
25,Café Patina,4.5,24,201.0,--$$-$$$---------,"55.66791,12.548128",2629.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c23-Copenhagen_Zealand.html"">Græsk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",96,"Mysundegade 26, København 1668 Danmark",$$-$$$,2,-24,72,[]
24,Studio - The Standard,4.5,22,,--$$$$---,"55.67783,12.592299",562.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",453,"Havnegade 44, København 1058 Danmark",$$$$,3,-22,73,[]
23,The Red Box,4.5,21,490.0,--$$-$$$---------,"55.683018,12.586555",369.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c17-Copenhagen_Zealand.html"">Fusion</a></div>",515,"Store Kongensgade 42, København 1264 Danmark",$$-$$$,2,-21,74,[]
22,BODIL - et spisested,4.5,20,758.0,--$$-$$$------,"55.66416,12.545544",2994.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Skandinavisk, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>",208,"Søndre Boulevard 105, København 1720 Danmark",$$-$$$,2,-20,75,[]
21,Restaurant Schonnemann,4.5,19,,--$$-$$$,"55.68277,12.575768",613.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, Skandinavisk</div>",162,"Haydee Plads 16-28, København 1127 Danmark",$$-$$$,2,-19,76,[]
20,Basso København,4.5,18,496.0,--$$-$$$---------,"55.68388,12.58657",459.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",345,"Dronningens Tvaergade 22, København 1302 Danmark",$$-$$$,2,-18,77,['Italiensk']
19,Trattoria SUD,4.5,17,999.0,--$$-$$$---------,"55.684696,12.568494",1115.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",306,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, København 1360 Danmark",$$-$$$,2,-17,78,['Italiensk']
18,Restaurant leaven,4.5,16,697.0,--$$$$------,"55.681232,12.584203",140.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, Vinstue</div>",309,"Ny Adelgade 4, København 1104 Danmark",$$$$,3,-16,79,['Fisk og skaldyr']
17,Husmann's Vinstue,4.5,14,,--$$-$$$---,"55.677773,12.570244",908.0,4.5,4.5,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",255,"Larsbjørnsstræde 2, København 1454 Danmark",$$-$$$,2,-14,80,[]
16,Kokkeriet,4.5,13,972.0,--$$$$---,"55.687626,12.585126",853.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",770,"Kronprinsessegade 64, København 1306 Danmark",$$$$,3,-13,81,[]
15,Banana Joe,4.5,12,54.0,--$---------,"55.690052,12.559024",1935.0,5.0,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",411,"Elmegade 18, København 2200 Danmark",$,1,-12,82,[]
14,Marv & Ben,4.5,10,838.0,--$$$$---,"55.677303,12.576991",540.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",645,"Snaregade 4, København 1205 Danmark",$$$$,3,-10,83,[]
13,Bowl Market Copenhagen,4.5,9,80.0,--$$-$$$---,"55.672024,12.555914",1981.0,4.5,5.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, Skandinavisk, Dansk</div>",113,"Gasvaerksvej 3, København 1656 Danmark",$$-$$$,2,-9,84,[]
12,Café Komplet,4.5,9,201.0,--$$-$$$------,"55.684692,12.588044",577.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Dansk, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",350,"Store Kongensgade 65, København 1264 Danmark",$$-$$$,2,-9,85,[]
11,Geranium,4.5,8,1.489,--$$$$---,"55.7036,12.572",2736.0,4.5,5.0,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",1054,"Per Henrik Lings Alle 4, 8., København Danmark",$$$$,3,-8,86,[]
8,Bastard Café,4.5,6,,--$------,"55.67645,12.574973",698.0,4.5,4.0,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, Bar, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",242,"Rådhusstræde 13, København 1466 Danmark",$,1,-6,87,['Café']
4,Frederiks Have,4.5,3,536.0,--$$$$---,"55.679256,12.524991",3712.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",529,"Smallegade 41, Frederiksberg, København 2000 Danmark",$$$$,3,-3,88,[]
3,Mielcke & Hurtigkarl,4.5,2,2.615,--$$$$---,"55.67468,12.530938",3390.0,4.5,4.5,4.5,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",253,"Fr.Berg Runddel 1, Frederiksberg, København 2000 Danmark",$$$$,3,-2,89,[]
1,Enomania,4.5,1,,--$$-$$$------,"55.670773,12.531963",3431.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g806262-c26-Frederiksberg_Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g806262-c18-Frederiksberg_Copenhagen_Zealand.html"">Europæisk</a>, Vinstue</div>",245,"Vesterbrogade 187, Frederiksberg, København 1800 Danmark",$$-$$$,2,-1,90,['Italiensk']
94,Alchemist,5.0,108,2.501,--$$$$---,"55.693714,12.613528",2391.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, Moderne, Skandinavisk</div>",68,"Refshalevej 173C, København 1432 Danmark",$$$$,3,-108,91,[]
84,Jurfood,5.0,86,101.0,--$$-$$$------,"55.661644,12.630313",3539.0,4.5,4.5,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",115,"Øresundsvej 150D, København 2300 Danmark",$$-$$$,2,-86,92,['Café']
54,Hey Darling,5.0,54,302.0,--$$-$$$------,"55.69105,12.576097",1332.0,4.5,4.5,4.5,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>",85,"Øster Farimagsgade 24, København 2100 Danmark",$$-$$$,2,-54,93,[]
10,Pizzeria Mamemi & Wine Bar,5.0,7,,--$---------,"55.667767,12.548116",2638.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>",930,"Mysundegade 28, København 1668 Danmark",$,1,-7,94,"['Italiensk', 'Pizza']"
9,The Pescatarian,5.0,6,597.0,--$$$$------,"55.68799,12.596316",1171.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Dansk, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",201,"Amaliegade 49 On the corner of Amaliegade & Esplanaden, København 1256 Danmark",$$$$,3,-6,95,['Fisk og skaldyr']
7,Zahida at Kellerdirk,5.0,5,248.0,--$$-$$$---------,"55.67162,12.546196",2557.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-c10748-Copenhagen_Zealand.html"">Pakistansk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>",879,"Frederiksberg Allé 102 We are located inside the historic Kellerdirk Bar and nightlcub, København 1820 Danmark",$$-$$$,2,-5,96,['Indisk']
6,Søllerød Kro,5.0,4,1.797,--$$$$------,"55.813576,12.495031",15869.0,4.5,5.0,5.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, Dansk, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a></div>",337,"Soelleroedvej 35 DK-2840 Holte, København 2840 Danmark",$$$$,3,-4,97,[]
5,The Olive Kitchen & Bar,5.0,3,174.0,--$$-$$$---------,"55.68125,12.571284",821.0,4.5,5.0,5.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c22-Copenhagen_Zealand.html"">International</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>",2141,"Nørregade 22, København 1165 Danmark",$$-$$$,2,-3,98,[]
2,Restaurant Krebsegaarden,5.0,2,396.0,--$$$$---,"55.67872,12.569877",908.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>",1311,"Studiestraede 17, København 1455 Danmark",$$$$,3,-2,99,[]
0,Grams Lækkerier,5.0,1,101.0,--$---------,"55.671036,12.562724",1673.0,4.5,5.0,5.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c10646-Copenhagen_Zealand.html"">Fastfood</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>",721,"Halmtorvet 1, København 1700 Danmark",$,1,-1,100,['Café']
